Order;Lot Area;Street;Neighborhood;Bldg Type;House Style;Overall Qual;Overall Cond;Year Built;Year Remod/Add;1st Flr over Lot Area;1st Flr SF;Mo Sold;Yr Sold;Sale Type;Sale Condition;SalePrice
637;8750;Pave;NAmes;1Fam;1Story;5;5;1956;1956;0,14;1202;11;2009;COD;Abnorml;120000
638;8750;Pave;NAmes;1Fam;1Story;5;5;1955;1955;0,16;1382;7;2009;WD ;Normal;153000
639;10400;Pave;NAmes;1Fam;1Story;4;5;1956;1956;0,12;1200;11;2009;WD ;Family;144000
640;19296;Pave;NAmes;1Fam;SLvl;6;5;1962;1962;0,07;1382;5;2009;WD ;Normal;176000
641;8532;Pave;NAmes;1Fam;1Story;5;6;1954;1990;0,15;1297;10;2009;WD ;Normal;153000
642;9482;Pave;NAmes;Duplex;1Story;5;4;1958;1958;0,2;1866;12;2009;WD ;Normal;135000
643;8128;Pave;NAmes;1Fam;1Story;6;7;1954;1954;0,13;1062;2;2009;WD ;Normal;131000
644;10634;Pave;NAmes;1Fam;1Story;5;6;1953;1953;0,12;1319;11;2009;WD ;Normal;123000
645;13070;Pave;NAmes;1Fam;1Story;5;5;1951;1951;0,09;1112;10;2009;WD ;Normal;126000
646;10434;Pave;NAmes;1Fam;1Story;4;5;1955;1955;0,1;1005;11;2009;WD ;Normal;115000
647;14559;Pave;NAmes;1Fam;1Story;5;7;1951;2000;0,09;1363;6;2009;WD ;Normal;164900
648;8480;Pave;NAmes;1Fam;1Story;5;6;1945;1950;0,09;793;8;2009;WD ;Normal;113000
649;7626;Pave;NAmes;1Fam;1Story;5;8;1952;2005;0,14;1031;3;2009;WD ;Normal;145500
650;9533;Pave;NAmes;1Fam;1Story;5;5;1953;1953;0,13;1210;8;2009;ConLD;Normal;102900
651;10615;Pave;OldTown;2fmCon;2Story;3;5;1900;1970;0,1;1014;8;2009;WD ;Abnorml;95000
652;11419;Pave;NAmes;1Fam;2Story;7;7;1948;1999;0,07;801;12;2009;WD ;Normal;152500
653;9600;Pave;NAmes;1Fam;1Story;5;6;1950;1950;0,13;1200;8;2009;WD ;Normal;129900
654;8000;Pave;NAmes;1Fam;1Story;6;6;1948;2002;0,12;972;5;2009;WD ;Normal;132000
655;5470;Pave;OldTown;1Fam;1Story;3;5;1958;1958;0,14;792;8;2009;WD ;Normal;99900
656;10410;Pave;OldTown;1Fam;1.5Fin;5;7;1916;1987;0,08;808;8;2009;WD ;Normal;135000
657;10800;Pave;OldTown;1Fam;2Story;5;7;1939;2006;0,06;676;8;2009;WD ;Normal;149000
658;8146;Pave;OldTown;1Fam;2Story;4;8;1900;2003;0,09;717;5;2009;WD ;Normal;114000
659;9022;Pave;OldTown;1Fam;1Story;5;8;1924;2006;0,09;792;5;2009;WD ;Normal;109500
660;10230;Pave;OldTown;1Fam;1Story;5;7;1925;1950;0,11;1078;12;2009;WD ;Normal;125000
661;10410;Pave;OldTown;1Fam;1.5Fin;4;5;1915;1950;0,13;1313;6;2009;WD ;Normal;142900
662;7200;Pave;OldTown;1Fam;2Story;7;9;1910;2008;0,13;930;8;2009;WD ;Normal;156500
663;5400;Pave;OldTown;1Fam;1Story;2;5;1940;1950;0,11;599;6;2009;WD ;Normal;59000
664;5400;Pave;OldTown;1Fam;1.5Fin;4;6;1920;1950;0,16;840;10;2009;WD ;Normal;105000
665;10800;Pave;OldTown;1Fam;1Story;5;7;1920;1950;0,08;846;6;2009;WD ;Normal;106000
666;10800;Pave;OldTown;1Fam;1Story;3;5;1890;1998;0,07;725;11;2009;WD ;Normal;78500
667;9671;Pave;NAmes;Duplex;2Story;6;5;1969;1969;0,13;1248;8;2009;WD ;Normal;190000
668;10143;Pave;NAmes;1Fam;1Story;6;7;1963;1963;0,14;1380;6;2009;WD ;Normal;154000
669;11500;Pave;NAmes;1Fam;1Story;6;4;1967;1967;0,09;1040;5;2009;WD ;Normal;163000
670;11643;Pave;NAmes;Duplex;2Story;5;5;1969;1969;0,11;1338;8;2009;WD ;Normal;200000
671;8010;Pave;NAmes;1Fam;1Story;6;9;1958;2007;0,12;951;9;2009;WD ;Normal;143500
672;10454;Pave;NAmes;1Fam;1Story;6;6;1957;1957;0,11;1105;4;2009;WD ;Normal;135000
673;8712;Pave;NAmes;1Fam;1Story;5;7;1957;2000;0,15;1306;5;2009;WD ;Normal;153000
674;17600;Pave;NAmes;1Fam;1Story;6;5;1960;1960;0,08;1478;12;2009;WD ;Normal;157500
675;9000;Pave;NAmes;1Fam;1Story;6;6;1958;1958;0,13;1142;4;2009;WD ;Normal;113500
676;12144;Pave;NAmes;1Fam;1Story;5;7;1949;1950;0,09;1036;9;2009;WD ;Normal;133000
677;8544;Pave;NAmes;Duplex;1Story;3;4;1950;1950;0,12;1040;6;2009;WD ;Normal;92900
678;8064;Pave;NAmes;1Fam;1.5Fin;6;5;1950;1950;0,09;765;12;2009;COD;Abnorml;128500
679;7200;Pave;NAmes;Duplex;1Story;4;5;1949;1950;0,14;1040;6;2009;WD ;Normal;90000
680;7200;Pave;NAmes;1Fam;1.5Fin;5;4;1950;1982;0,16;1136;5;2009;WD ;Normal;138000
681;7350;Pave;NAmes;1Fam;1Story;5;6;1958;1958;0,14;1041;3;2009;WD ;Normal;128000
682;7560;Pave;NAmes;1Fam;1Story;5;6;1958;1965;0,18;1339;5;2009;COD;Abnorml;139000
683;7200;Pave;NAmes;1Fam;1Story;5;7;1952;1952;0,1;732;9;2009;WD ;Normal;118900
684;8000;Pave;NAmes;1Fam;SLvl;5;5;1959;1959;0,15;1183;7;2009;WD ;Normal;138000
685;7931;Pave;NAmes;1Fam;1Story;5;5;1959;1959;0,14;1148;7;2009;WD ;Normal;132500
686;10800;Pave;NAmes;1Fam;1.5Fin;4;7;1949;1996;0,08;832;8;2009;WD ;Normal;133500
687;8064;Pave;NAmes;1Fam;1.5Fin;6;7;1948;1994;0,13;1064;8;2009;COD;Abnorml;135000
688;7570;Pave;NAmes;1Fam;2Story;6;5;1964;1964;0,13;993;3;2009;WD ;Normal;144750
689;8604;Pave;NAmes;Duplex;SFoyer;5;7;1978;1978;0,11;941;11;2009;WD ;Normal;145000
690;7936;Pave;NAmes;1Fam;1Story;6;6;1963;1963;0,13;1045;4;2009;WD ;Normal;127000
691;6600;Pave;NAmes;1Fam;1Story;5;5;1962;1962;0,14;894;8;2009;WD ;Normal;109500
692;3950;Pave;OldTown;1Fam;1.5Fin;6;8;1926;2004;0,21;818;12;2009;WD ;Normal;115000
693;10440;Pave;OldTown;1Fam;2Story;5;6;1910;1981;0,07;682;5;2009;WD ;Normal;110000
694;4080;Pave;OldTown;1Fam;1.5Fin;6;8;1935;1998;0,21;861;6;2009;WD ;Normal;128900
695;10307;Pave;OldTown;Duplex;2Story;6;5;1910;1950;0,09;972;6;2009;WD ;Normal;103500
696;5720;Pave;OldTown;1Fam;1.5Fin;5;6;1941;1950;0,12;676;8;2009;WD ;Abnorml;66500
697;15660;Pave;OldTown;1Fam;1.5Fin;5;8;1910;2003;0,05;810;7;2009;WD ;Normal;130000
698;9900;Pave;OldTown;1Fam;2Story;5;8;1910;2002;0,08;764;3;2009;WD ;Normal;129000
699;6406;Pave;OldTown;1Fam;2Story;5;6;1939;1950;0,14;868;10;2009;WD ;Normal;150000
700;6600;Pave;OldTown;1Fam;2Story;5;4;1892;1965;0,21;1378;12;2009;WD ;Normal;107500
701;7627;Pave;OldTown;2fmCon;2Story;4;6;1920;1950;0,14;1101;10;2009;WD ;Normal;94550
702;7596;Pave;OldTown;Duplex;2Story;5;5;1952;1952;0,13;960;7;2009;COD;Normal;124500
703;3378;Pave;OldTown;1Fam;2Story;7;8;1946;1992;0,21;707;9;2009;WD ;Normal;135000
704;10134;Pave;OldTown;1Fam;1.5Fin;5;5;1910;1950;0,08;801;7;2009;WD ;Normal;103000
705;6000;Pave;OldTown;2fmCon;1Story;4;4;1953;1953;0,16;936;2;2009;WD ;Normal;93000
706;6000;Pave;OldTown;1Fam;1.5Fin;5;7;1950;1970;0,13;768;3;2009;WD ;Normal;129500
707;6000;Pave;OldTown;2fmCon;1.5Fin;5;4;1954;1954;0,14;811;11;2009;WD ;Normal;93000
708;7404;Pave;OldTown;1Fam;1Story;4;6;1920;1950;0,12;861;11;2009;Oth;Normal;80000
709;5925;Pave;OldTown;1Fam;1Story;2;4;1940;1950;0,1;612;10;2009;WD ;Normal;45000
710;5925;Pave;OldTown;1Fam;1.5Fin;3;6;1910;1950;0,1;600;5;2009;WD ;Abnorml;37900
711;5784;Pave;OldTown;1Fam;1Story;5;8;1938;1996;0,15;886;12;2009;WD ;Normal;91300
712;8520;Pave;OldTown;1Fam;1Story;5;8;1923;1950;0,09;792;2;2009;WD ;Normal;99500
713;4456;Pave;OldTown;2fmCon;2Story;4;5;1920;2008;0,17;736;6;2009;New;Partial;113000
714;9600;Pave;OldTown;1Fam;2Story;4;4;1910;1950;0,09;833;6;2009;WD ;Normal;87500
715;3500;Pave;OldTown;1Fam;1.5Fin;5;7;1947;1950;0,21;720;4;2009;WD ;Normal;110000
716;8100;Pave;OldTown;1Fam;2.5Unf;5;5;1898;1965;0,13;1075;11;2009;WD ;Normal;106000
717;11700;Pave;OldTown;1Fam;2Story;7;7;1880;2003;0,11;1320;5;2009;WD ;Normal;265979
718;8400;Pave;OldTown;1Fam;2Story;6;7;1900;1950;0,13;1090;6;2009;WD ;Normal;160000
719;3600;Pave;OldTown;1Fam;2Story;6;7;1917;2007;0,18;664;5;2009;WD ;Normal;119000
720;17671;Pave;OldTown;1Fam;2Story;8;9;1882;1986;0,05;916;11;2009;WD ;Normal;168000
721;3300;Pave;OldTown;1Fam;1Story;4;3;1910;1950;0,25;816;6;2009;WD ;Normal;58500
722;9000;Pave;OldTown;1Fam;2Story;7;9;1920;1988;0,09;832;7;2009;WD ;Normal;143000
723;7200;Pave;OldTown;1Fam;1Story;5;4;1910;2006;0,14;1022;6;2009;WD ;Normal;85000
724;8820;Pave;OldTown;1Fam;1.5Fin;5;6;1890;1996;0,13;1188;9;2009;WD ;Normal;124900
725;5400;Pave;OldTown;1Fam;1.5Fin;6;6;1920;1950;0,19;1044;9;2009;ConLI;Family;119000
726;9720;Pave;OldTown;1Fam;2Story;6;7;1910;2002;0,08;780;9;2009;WD ;Normal;146500
727;7879;Pave;IDOTRR;1Fam;1Story;4;5;1920;1950;0,09;720;11;2009;WD ;Abnorml;34900
728;9392;Pave;IDOTRR;1Fam;1Story;3;3;1900;1950;0,08;797;9;2009;WD ;Abnorml;44000
729;21384;Pave;BrkSide;1Fam;2Story;5;6;1923;2004;0,05;1072;5;2009;WD ;Normal;223500
730;6615;Pave;BrkSide;1Fam;1Story;6;6;1923;1950;0,22;1432;9;2009;WD ;Normal;149000
731;7264;Pave;BrkSide;1Fam;1.5Fin;7;7;1925;2007;0,13;952;10;2009;WD ;Normal;205000
732;4960;Pave;BrkSide;1Fam;1.5Fin;5;7;1930;1982;0,2;1001;5;2009;WD ;Normal;137000
733;8854;Pave;BrkSide;1Fam;1.5Unf;6;6;1916;1950;0,11;952;5;2009;WD ;Normal;121000
734;6000;Pave;BrkSide;1Fam;1.5Fin;4;6;1936;1950;0,13;757;7;2009;WD ;Normal;128000
735;6000;Pave;BrkSide;1Fam;1.5Fin;6;9;1937;2000;0,13;786;7;2009;WD ;Normal;134900
736;6000;Pave;BrkSide;1Fam;1.5Fin;5;8;1925;1997;0,15;884;5;2009;WD ;Normal;117000
737;6000;Pave;BrkSide;1Fam;1.5Fin;6;6;1939;1950;0,14;825;5;2009;WD ;Normal;132500
738;6000;Pave;BrkSide;1Fam;1.5Fin;5;5;1924;1950;0,14;822;6;2009;WD ;Normal;93000
739;6000;Pave;BrkSide;1Fam;1.5Unf;6;7;1926;2004;0,15;904;1;2009;WD ;Normal;119000
740;6911;Pave;BrkSide;1Fam;1Story;5;5;1924;1950;0,19;1301;10;2009;WD ;Normal;100000
741;6120;Pave;BrkSide;1Fam;1.5Fin;5;6;1936;1950;0,17;1067;4;2009;WD ;Normal;141500
742;6120;Pave;BrkSide;1Fam;1.5Fin;4;7;1935;1995;0,16;989;7;2009;WD ;Normal;133000
743;6120;Pave;BrkSide;1Fam;1Story;2;3;1936;1950;0,13;800;1;2009;ConLw;Normal;60000
744;6120;Pave;BrkSide;1Fam;1Story;5;7;1931;1993;0,14;875;11;2009;WD ;Normal;105000
745;6120;Pave;BrkSide;1Fam;1Story;5;6;1925;1999;0,16;995;3;2009;WD ;Abnorml;115000
746;6120;Pave;BrkSide;1Fam;1.5Fin;5;6;1938;1950;0,16;994;2;2009;WD ;Normal;150000
747;8635;Pave;BrkSide;1Fam;1Story;5;5;1925;1950;0,12;1072;8;2009;WD ;Normal;126500
748;11888;Pave;BrkSide;1Fam;2.5Unf;6;6;1916;1994;0,12;1445;7;2009;WD ;Normal;214500
749;11414;Pave;BrkSide;1Fam;2Story;7;8;1910;1993;0,1;1136;10;2009;WD ;Normal;167500
750;8094;Pave;OldTown;1Fam;2Story;6;6;1915;1950;0,13;1048;6;2009;WD ;Normal;155000
751;2500;Pave;OldTown;1Fam;2Story;7;8;1915;2005;0,37;916;6;2009;WD ;Normal;155000
752;9928;Pave;OldTown;1Fam;2Story;7;8;1915;1994;0,13;1272;6;2009;WD ;Normal;179900
753;5520;Pave;OldTown;1Fam;2.5Fin;6;6;1912;1950;0,17;929;7;2009;WD ;Abnorml;104000
754;3000;Pave;OldTown;Duplex;2Story;5;1;1922;1950;0,36;1088;9;2009;WD ;Abnorml;62500
755;6876;Pave;IDOTRR;1Fam;2Story;6;5;1927;1950;0,17;1146;8;2009;WD ;Normal;149000
756;6240;Pave;IDOTRR;1Fam;1.5Fin;4;5;1925;1950;0,14;848;1;2009;WD ;Normal;103000
757;5775;Pave;OldTown;1Fam;2Story;6;7;1915;2002;0,13;741;2;2009;WD ;Normal;123000
758;5852;Pave;OldTown;2fmCon;2.5Unf;7;5;1902;2000;0,17;978;5;2009;WD ;Normal;97500
759;5160;Pave;IDOTRR;1Fam;1.5Fin;6;6;1927;1950;0,23;1204;8;2009;WD ;Normal;135000
760;5160;Pave;IDOTRR;1Fam;SFoyer;4;6;1923;1950;0,17;892;7;2009;COD;Abnorml;70000
761;10320;Pave;IDOTRR;2fmCon;2Story;6;7;1915;1965;0,07;754;2;2009;WD ;Normal;116000
762;4280;Pave;Sawyer;1Fam;1Story;4;9;1946;2001;0,16;704;9;2009;WD ;Normal;88750
763;10800;Pave;Edwards;Duplex;1Story;5;5;1987;1988;0,11;1200;3;2009;WD ;Alloca;179000
764;10800;Pave;Edwards;Duplex;1Story;5;5;1987;1988;0,11;1200;3;2009;WD ;Alloca;179000
765;10547;Pave;Edwards;Duplex;SFoyer;5;5;1978;1978;0,11;1152;7;2009;WD ;Normal;159900
766;10020;Pave;Edwards;1Fam;1Story;1;1;1922;1950;0,09;904;3;2009;WD ;Normal;61000
767;6629;Pave;Edwards;1Fam;2Story;6;6;1925;1950;0,11;697;7;2009;WD ;Normal;103600
768;9780;Pave;Edwards;1Fam;1.5Fin;5;3;1934;1950;0,07;687;3;2009;WD ;Normal;63000
769;12886;Pave;Sawyer;1Fam;SLvl;5;6;1963;1999;0,11;1464;10;2009;WD ;Normal;175000
770;8816;Pave;Sawyer;1Fam;1Story;5;6;1963;1963;0,13;1121;6;2009;WD ;Normal;139000
771;11184;Pave;Sawyer;1Fam;2Story;6;5;1978;1978;0,08;918;7;2009;WD ;Normal;172500
772;11625;Pave;Sawyer;1Fam;1Story;5;6;1967;1967;0,09;1052;4;2009;WD ;Abnorml;113500
773;7800;Pave;Sawyer;1Fam;1Story;5;7;1967;2004;0,12;899;6;2009;WD ;Normal;130000
774;8014;Pave;Sawyer;1Fam;SFoyer;6;5;1978;1978;0,13;1034;6;2009;WD ;Normal;149900
775;7252;Pave;Sawyer;1Fam;SFoyer;5;5;1982;1982;0,12;858;4;2009;WD ;Normal;134900
776;8740;Pave;Sawyer;1Fam;SFoyer;5;6;1982;1982;0,1;860;7;2009;WD ;Normal;137000
777;11616;Pave;Sawyer;1Fam;1Story;5;5;1962;1962;0,09;1092;9;2009;WD ;Normal;139000
778;15400;Pave;Sawyer;1Fam;SLvl;5;5;1961;1961;0,06;904;7;2009;WD ;Normal;165000
779;15312;Pave;Sawyer;1Fam;SLvl;6;5;1960;1960;0,07;1138;3;2009;COD;Normal;148000
780;15584;Pave;ClearCr;1Fam;SLvl;5;5;1956;1956;0,13;2071;10;2009;WD ;Normal;165000
781;9000;Pave;Sawyer;1Fam;1Story;2;2;1947;1950;0,07;660;6;2009;WD ;Normal;63900
782;11250;Pave;ClearCr;1Fam;1.5Fin;4;5;1957;1989;0,1;1104;11;2009;WD ;Normal;161500
783;25095;Pave;ClearCr;1Fam;1Story;5;8;1968;2003;0,06;1473;6;2009;WD ;Partial;143000
784;17140;Pave;Edwards;1Fam;1Story;4;6;1956;1956;0,07;1229;4;2009;WD ;Normal;135000
785;12342;Pave;Edwards;1Fam;1Story;4;5;1940;1950;0,07;861;3;2009;WD ;Normal;82500
786;10708;Pave;ClearCr;1Fam;1Story;5;5;1955;1993;0,17;1867;11;2009;COD;Normal;190000
787;13680;Pave;Edwards;1Fam;1Story;3;5;1955;1955;0,13;1733;6;2009;WD ;Normal;139600
788;15635;Pave;Edwards;1Fam;1Story;4;5;1954;1954;0,09;1383;10;2009;WD ;Normal;122000
789;9855;Pave;Edwards;1Fam;1Story;6;5;1956;1956;0,17;1689;11;2009;COD;Normal;127500
790;9571;Pave;Edwards;1Fam;1Story;5;5;1956;1956;0,11;1073;2;2009;WD ;Normal;121500
791;9571;Pave;Edwards;1Fam;1Story;5;3;1958;1958;0,13;1276;6;2009;COD;Abnorml;60000
792;9350;Pave;Edwards;1Fam;2Story;6;7;1946;1950;0,1;892;7;2009;WD ;Normal;154400
793;9340;Pave;Edwards;1Fam;1Story;4;6;1941;1950;0,07;672;8;2009;WD ;Normal;113000
794;7440;Pave;Edwards;1Fam;1Story;5;6;1954;1954;0,15;1089;9;2009;WD ;Normal;125000
795;11500;Pave;Edwards;1Fam;1Story;4;3;1957;1957;0,07;845;1;2009;WD ;Normal;84000
796;4235;Pave;Edwards;TwnhsE;1Story;5;5;1984;1984;0,25;1049;2;2009;WD ;Normal;139500
797;11409;Pave;Edwards;1Fam;1.5Fin;5;4;1949;2008;0,1;1148;1;2009;WD ;Normal;131000
798;9060;Pave;Edwards;1Fam;1.5Fin;6;5;1939;1950;0,08;698;10;2009;WD ;Normal;105000
799;9084;Pave;Edwards;1Fam;2Story;4;5;1940;1950;0,08;755;10;2009;WD ;Normal;108000
800;10778;Pave;SawyerW;1Fam;SLvl;7;6;1990;1991;0,1;1061;7;2009;WD ;Normal;162000
801;19255;Pave;SawyerW;1Fam;SLvl;6;5;1983;1983;0,07;1338;9;2009;WD ;Normal;156500
802;12327;Pave;SawyerW;1Fam;1.5Fin;8;8;1983;2009;0,12;1496;9;2009;WD ;Normal;316600
803;14684;Pave;SawyerW;1Fam;1Story;7;7;1990;1991;0,15;2196;6;2009;WD ;Normal;271900
804;9317;Pave;SawyerW;1Fam;2Story;7;5;1993;1993;0,11;1006;7;2009;WD ;Normal;213000
805;10560;Pave;SawyerW;1Fam;2Story;7;5;1993;1994;0,1;1079;8;2009;WD ;Normal;239900
806;9828;Pave;SawyerW;1Fam;2Story;8;5;1995;1995;0,12;1142;6;2009;WD ;Normal;239500
807;26400;Pave;SawyerW;1Fam;2Story;5;7;1880;2007;0,05;1288;6;2009;WD ;Normal;131000
808;7018;Pave;SawyerW;Duplex;1Story;5;5;1979;1979;0,22;1535;6;2009;WD ;Alloca;118964
809;7018;Pave;SawyerW;Duplex;SFoyer;5;5;1979;1979;0,17;1224;6;2009;WD ;Alloca;153337
810;7018;Pave;SawyerW;Duplex;2Story;5;5;1979;1979;0,16;1114;6;2009;WD ;Alloca;147983
811;7018;Pave;SawyerW;Duplex;1Story;5;5;1979;1979;0,22;1535;6;2009;WD ;Alloca;118858
812;7018;Pave;SawyerW;Duplex;1Story;5;5;1979;1979;0,22;1535;6;2009;WD ;Alloca;118858
813;7018;Pave;SawyerW;Duplex;2Story;5;5;1979;1979;0,16;1120;6;2009;WD ;Alloca;142953
814;7040;Pave;SawyerW;Duplex;SFoyer;5;5;1979;1979;0,17;1229;6;2009;WD ;Alloca;148325
815;7007;Pave;SawyerW;Duplex;1Story;5;5;1979;1979;0,22;1513;6;2009;WD ;Alloca;113722
816;11855;Pave;SawyerW;Duplex;2Story;7;5;2000;2000;0,1;1168;10;2009;WD ;Normal;269500
817;7939;Pave;SawyerW;Duplex;2Story;7;5;2000;2000;0,15;1168;10;2009;WD ;Normal;269500
818;7976;Pave;SawyerW;Duplex;2Story;7;5;2000;2000;0,15;1168;10;2009;WD ;Normal;269500
819;10933;Pave;CollgCr;1Fam;1Story;9;5;2009;2009;0,15;1680;7;2009;New;Partial;323262
820;10637;Pave;CollgCr;1Fam;1Story;8;5;2007;2008;0,16;1718;9;2009;WD ;Normal;297000
821;10226;Pave;CollgCr;1Fam;1Story;8;5;2008;2008;0,16;1630;1;2009;WD ;Normal;295493
822;10816;Pave;CollgCr;1Fam;1Story;9;5;2008;2008;0,16;1720;11;2009;WD ;Normal;332000
823;9178;Pave;CollgCr;1Fam;1Story;8;5;2008;2008;0,16;1468;6;2009;WD ;Normal;239900
824;10769;Pave;CollgCr;1Fam;2Story;8;5;2007;2007;0,08;866;4;2009;WD ;Normal;212000
825;11422;Pave;CollgCr;1Fam;1Story;8;5;2007;2008;0,16;1838;4;2009;WD ;Normal;272500
826;11923;Pave;CollgCr;1Fam;1Story;9;5;2007;2007;0,15;1800;5;2009;WD ;Normal;239000
827;8814;Pave;CollgCr;1Fam;1Story;7;5;2006;2006;0,18;1604;3;2009;WD ;Abnorml;220000
828;6762;Pave;CollgCr;1Fam;1Story;7;5;2007;2007;0,19;1290;5;2009;WD ;Normal;200000
829;10324;Pave;CollgCr;1Fam;1Story;8;5;2008;2008;0,12;1254;3;2009;WD ;Normal;221800
830;7314;Pave;CollgCr;1Fam;1Story;7;5;2007;2007;0,17;1232;2;2009;WD ;Normal;194500
831;11645;Pave;CollgCr;1Fam;1Story;8;5;2005;2006;0,13;1498;3;2009;WD ;Normal;237000
832;11646;Pave;CollgCr;1Fam;2Story;6;5;2005;2006;0,06;704;7;2009;WD ;Normal;173000
833;12800;Pave;SawyerW;1Fam;SLvl;7;5;1989;1989;0,13;1644;8;2009;WD ;Normal;275000
834;16698;Pave;ClearCr;1Fam;2Story;7;5;1992;1993;0,06;944;6;2009;WD ;Normal;233500
835;28698;Pave;ClearCr;1Fam;2Story;5;5;1967;1967;0,04;1160;6;2009;WD ;Abnorml;185000
836;12464;Pave;CollgCr;1Fam;1Story;5;5;1996;1996;0,08;1040;11;2009;WD ;Normal;152000
837;9757;Pave;CollgCr;1Fam;1Story;5;7;1994;1994;0,1;990;10;2009;WD ;Normal;143000
838;15426;Pave;CollgCr;1Fam;2Story;6;5;1997;1997;0,06;928;8;2009;WD ;Normal;231500
839;10667;Pave;CollgCr;1Fam;2Story;7;6;1996;1996;0,08;827;4;2009;ConLw;Normal;212000
840;14753;Pave;CollgCr;1Fam;1Story;7;5;1998;1998;0,1;1463;12;2009;WD ;Normal;207000
841;10859;Pave;CollgCr;1Fam;1Story;5;5;1994;1995;0,1;1097;6;2009;WD ;Normal;145000
842;8072;Pave;CollgCr;1Fam;1Story;5;5;1994;1995;0,12;990;5;2009;WD ;Normal;138000
843;10400;Pave;CollgCr;1Fam;2Story;7;5;1998;1998;0,08;866;3;2009;WD ;Normal;197900
844;10335;Pave;CollgCr;1Fam;1Story;7;5;1999;1999;0,15;1501;6;2009;WD ;Normal;204000
845;9017;Pave;CollgCr;1Fam;1Story;7;5;1999;1999;0,16;1431;9;2009;WD ;Normal;192000
846;8750;Pave;CollgCr;1Fam;2Story;6;5;1998;1998;0,11;928;4;2009;WD ;Normal;200000
847;8935;Pave;CollgCr;1Fam;2Story;7;5;2002;2002;0,09;831;7;2009;WD ;Normal;195000
848;9808;Pave;CollgCr;1Fam;1Story;7;5;2002;2002;0,16;1573;3;2009;WD ;Normal;227000
849;12420;Pave;CollgCr;1Fam;2Story;7;5;2001;2001;0,08;944;6;2009;WD ;Normal;230000
850;16285;Pave;CollgCr;1Fam;1Story;7;5;2001;2002;0,09;1430;6;2009;WD ;Normal;187100
851;10739;Pave;CollgCr;1Fam;1Story;7;5;2002;2001;0,13;1444;4;2009;WD ;Normal;203000
852;11166;Pave;CollgCr;1Fam;1Story;7;5;2001;2001;0,13;1492;7;2009;WD ;Family;201000
853;8430;Pave;CollgCr;1Fam;1Story;5;5;1978;1978;0,12;1040;8;2009;WD ;Normal;124000
854;16269;Pave;CollgCr;1Fam;1Story;5;5;1978;1978;0,06;907;7;2009;WD ;Normal;140000
855;6950;Pave;CollgCr;1Fam;1Story;5;7;1979;1979;0,13;914;10;2009;WD ;Normal;134900
856;8800;Pave;CollgCr;1Fam;1Story;5;7;1977;2008;0,12;1040;9;2009;WD ;Normal;150500
857;7000;Pave;CollgCr;1Fam;1Story;5;8;1978;2005;0,12;864;7;2009;WD ;Normal;136500
858;9286;Pave;CollgCr;1Fam;1Story;5;7;1977;1989;0,14;1268;10;2009;WD ;Normal;143500
859;15523;Pave;CollgCr;1Fam;1Story;5;6;1972;1972;0,06;864;8;2009;WD ;Normal;133500
860;7200;Pave;CollgCr;1Fam;1Story;5;5;1972;1972;0,12;894;9;2009;WD ;Normal;123000
861;7200;Pave;CollgCr;1Fam;SFoyer;5;8;1972;2003;0,11;768;4;2009;WD ;Normal;133900
862;8445;Pave;CollgCr;1Fam;SFoyer;5;7;1972;2007;0,09;768;3;2009;WD ;Normal;133000
863;11664;Pave;CollgCr;1Fam;1Story;7;5;2002;2002;0,14;1611;9;2009;WD ;Normal;250000
864;12334;Pave;CollgCr;1Fam;2Story;8;5;2003;2003;0,09;1068;6;2009;WD ;Normal;254750
865;11838;Pave;CollgCr;1Fam;1Story;8;5;2001;2001;0,15;1788;6;2009;WD ;Normal;236500
866;11885;Pave;CollgCr;1Fam;2Story;8;5;2001;2001;0,11;1299;11;2009;WD ;Normal;261500
867;11050;Pave;CollgCr;1Fam;2Story;9;5;2000;2000;0,13;1476;5;2009;WD ;Normal;313000
868;8749;Pave;CollgCr;1Fam;2Story;7;5;2002;2002;0,1;840;11;2009;WD ;Normal;198500
869;11250;Pave;CollgCr;1Fam;2Story;7;5;2001;2001;0,08;944;5;2009;WD ;Normal;211000
870;15750;Pave;CollgCr;1Fam;1Story;8;5;1999;2000;0,1;1513;6;2009;WD ;Normal;220000
871;11883;Pave;CollgCr;1Fam;1Story;7;5;1996;1996;0,13;1504;6;2009;WD ;Normal;203000
872;12782;Pave;CollgCr;1Fam;1Story;8;5;2002;2003;0,14;1828;6;2009;WD ;Normal;279500
873;8750;Pave;CollgCr;1Fam;1Story;7;5;1997;1998;0,16;1417;8;2009;WD ;Normal;210000
874;9375;Pave;CollgCr;1Fam;2Story;7;5;1997;1998;0,11;1057;2;2009;WD ;Normal;219500
875;8750;Pave;CollgCr;1Fam;2Story;7;5;1996;1996;0,1;909;7;2009;WD ;Normal;191000
876;9100;Pave;CollgCr;1Fam;1Story;7;5;2001;2001;0,13;1212;6;2009;WD ;Normal;178000
877;9750;Pave;CollgCr;1Fam;1Story;7;5;2000;2001;0,17;1630;10;2009;WD ;Normal;213000
878;4435;Pave;CollgCr;TwnhsE;1Story;6;5;2003;2004;0,19;848;6;2009;WD ;Normal;144000
879;4435;Pave;CollgCr;TwnhsE;1Story;6;5;2003;2003;0,19;848;5;2009;WD ;Normal;140000
880;10200;Pave;CollgCr;1Fam;1Story;8;5;2007;2007;0,16;1602;1;2009;WD ;Normal;293200
